"BTC
Bitcoin","ETH
Ethereum","BNB
BNB","XRP
XRP","USDT
Tether","ADA
Cardano","DOT
Polkadot","LTC
Litecoin","UNI
Uniswap","LINK
ChainLink","XLM
Stellar","BCH
Bitcoin Cash","THETA
Theta Token","FIL
Filecoin","USDC
USD Coin","DOGE
Dogecoin","TRX
TRON","VET
VeChain","WBTC
Wrapped Bitcoin",Time
62842.22,2210.99,550.28,1.63,1.0,1.33,41.19,35.2,263.66,62.827,33.19,705.89,12.01,164.02,1.0,74.632,13.416,133.092,62834.56,955
62833.63,2215.89,556.69,1.62,1.0,1.34,41.26,35.39,266.0,6.248,33.25,711.19,12.08,163.89,1.0,1.347,74.501,132.655,62850.95,960
62728.35,2216.33,558.49,1.64,1.0,1.33,41.33,35.23,266.18,63.004,33.24,706.33,12.01,164.09,1.0,74.804,13.392,132.773,62712.78,965
62724.5,2216.08,559.91,1.64,1.0,1.35,41.2,35.12,266.3,62.262,33.26,703.6,12.02,163.84,1.0,75.907,13.372,132.794,62753.76,970
62747.49,2219.66,559.84,1.66,1.0,1.35,41.22,35.47,266.25,63.344,33.36,705.1,12.01,164.13,1.0,76.318,13.444,133.26,62751.55,975
62541.57,2211.0,554.66,1.64,1.0,1.35,41.14,35.22,265.06,63.124,33.27,703.48,12.04,163.6,1.0,77.078,13.324,132.644,62530.89,980
62613.26,2211.99,559.75,1.64,1.0,1.35,41.15,35.27,266.02,63.174,33.3,706.28,12.06,164.09,1.0,7.785,13.357,133.128,62594.53,985
62594.85,2212.63,559.34,1.64,1.0,1.35,41.14,35.46,267.25,63.155,33.37,708.86,12.06,163.56,1.0,78.321,13.355,134.243,62586.25,990
62661.46,2209.88,556.35,1.64,1.0,1.34,41.13,35.43,266.35,63.029,33.34,706.23,12.07,162.76,1.0,78.501,13.351,134.482,62663.62,995
62718.71,2212.24,556.43,1.65,1.0,1.34,41.07,35.4,267.2,62.832,33.37,711.58,12.04,162.65,1.0,7.732,13.387,134.654,62714.55,1000
62695.35,2213.48,555.11,1.65,1.0,1.35,41.01,35.27,266.96,62.935,33.39,709.63,12.02,162.91,1.0,77.225,13.406,134.781,62691.93,1005
62932.28,2222.57,544.66,1.71,1.0,1.34,40.63,35.22,263.41,63.919,33.19,709.06,11.96,162.9,1.0,14.125,7.702,135.602,62907.07,1010
63005.71,2222.99,545.0,1.7,1.0,1.34,40.58,35.01,265.62,64.199,33.24,713.1,11.97,163.31,1.0,14.184,77.124,135.837,63019.63,1015
62796.72,2219.4,549.8,1.69,1.0,1.33,40.51,35.1,267.34,63.788,33.34,712.59,11.99,164.24,1.0,14.224,77.639,136.566,62779.36,1020
62864.24,2225.92,549.84,1.7,1.0,1.34,40.62,35.12,268.21,64.089,33.55,719.22,12.02,165.0,1.0,14.198,78.273,135.973,62851.89,1025
62839.72,2226.84,549.8,1.69,1.0,1.34,40.72,34.9,268.56,63.805,33.6,716.99,12.04,164.75,1.0,14.239,77.527,135.787,62831.24,1030
62917.51,2226.82,554.98,1.69,1.0,1.35,40.9,34.88,268.14,63.566,33.59,715.26,12.05,164.7,1.0,14.165,76.943,135.491,62887.05,1035
62987.99,2219.52,551.6,1.72,1.0,1.35,40.94,34.7,267.39,63.351,33.29,724.62,11.97,163.7,1.0,1.408,76.484,138.044,62990.14,1040
63024.38,2221.77,553.41,1.71,1.0,1.35,41.03,34.74,267.9,6.299,33.34,726.21,11.96,163.8,1.0,1.411,75.979,137.764,63060.44,1045
62977.79,2220.65,553.77,1.71,1.0,1.35,41.07,34.69,268.28,62.972,33.47,726.34,11.99,164.47,1.0,14.146,7.621,138.717,63026.23,1050
63029.98,2223.39,552.2,1.69,1.0,1.37,41.07,34.56,267.61,62.719,33.54,724.03,11.98,164.14,1.0,14.217,76.229,137.86,63060.38,1055
62935.02,2226.56,552.22,1.68,1.0,1.37,41.22,34.52,267.44,62.709,33.59,724.96,11.98,163.97,1.0,14.366,76.473,138.129,62970.27,1060
62938.76,2224.02,552.42,1.67,1.0,1.37,41.48,34.62,267.12,62.255,33.49,721.67,11.98,164.44,1.0,14.462,7.641,138.2,62943.48,1065
62982.93,2226.31,559.75,1.68,1.0,1.37,41.36,34.81,267.67,62.328,33.6,723.32,11.99,164.22,1.0,14.527,77.063,138.4,62983.15,1070
62939.64,2223.82,563.5,1.68,1.0,1.37,41.22,34.79,268.25,62.493,33.5,721.66,12.02,164.47,1.0,14.337,77.143,140.185,62934.17,1075
62923.99,2226.07,567.88,1.67,1.0,1.37,41.22,34.91,267.47,62.447,33.48,717.67,12.0,166.98,9.999,14.282,77.059,140.547,62952.49,1080
62598.99,2222.77,577.95,1.7,1.0,1.38,41.13,35.3,264.68,6.284,33.49,715.61,12.05,167.1,9.998,14.216,7.885,140.175,62609.4,1085
62501.01,2219.63,577.42,1.68,1.0,1.38,41.13,35.23,263.76,62.655,33.4,715.0,12.15,168.07,9.999,78.271,1.409,141.128,62502.5,1090
62680.17,2222.8,575.49,1.68,1.0,1.38,41.21,35.29,264.63,62.734,33.42,715.9,12.16,168.73,9.997,78.938,14.111,140.859,62649.39,1095
62714.73,2223.29,570.37,1.68,1.0,1.38,41.05,35.06,265.6,6.291,33.38,715.99,12.19,167.58,9.997,80.316,14.007,141.132,62715.33,1100
62839.99,2228.33,570.59,1.68,1.0,1.39,41.06,34.92,266.56,62.995,33.5,718.02,12.15,167.38,9.998,80.882,13.993,141.213,62811.3,1105
62757.2,2227.5,568.85,1.68,1.0,1.39,41.02,34.9,265.89,62.799,33.48,716.04,12.19,167.6,9.998,79.567,13.884,141.27,62786.39,1110
62692.43,2226.6,571.13,1.69,1.0,1.38,41.03,35.01,266.5,62.771,33.41,715.94,12.18,166.63,9.999,78.761,13.867,140.215,62710.02,1115
62738.61,2238.95,572.11,1.7,1.0,1.4,41.15,35.47,266.71,62.966,33.52,718.66,12.13,166.39,9.999,8.087,14.061,140.548,62758.18,1120
62774.11,2241.09,574.58,1.71,1.0,1.4,41.29,35.48,266.33,62.822,33.66,717.66,12.14,166.71,1.0,80.576,14.057,139.667,62765.27,1125
62843.74,2243.99,573.14,1.7,1.0,1.41,41.29,35.36,267.08,62.509,33.85,720.24,12.17,166.58,9.999,81.592,14.013,139.361,62857.89,1130
62873.0,2245.39,574.81,1.72,1.0,1.41,41.51,35.43,267.39,62.933,33.77,723.3,12.16,167.31,9.998,81.377,14.068,140.221,62869.52,1135
62938.64,2246.32,575.39,1.72,1.0,1.41,41.52,35.6,267.43,62.804,33.85,725.5,12.15,167.4,9.997,8.135,14.038,139.177,62935.95,1140
62948.81,2247.53,575.69,1.74,1.0,1.42,41.57,35.55,267.66,63.439,33.94,725.74,12.09,167.62,9.997,80.407,14.038,138.883,62956.91,1145
62916.96,2262.0,574.67,1.72,1.0,1.41,41.33,35.59,267.37,63.042,34.25,725.06,12.4,168.24,9.998,80.505,14.142,140.677,62917.58,1150
63000.01,2258.51,575.44,1.71,1.0,1.4,41.28,35.62,267.86,62.952,34.22,727.45,12.31,167.97,9.997,79.503,14.203,141.54,63000.59,1155
62906.54,2253.63,572.39,1.71,1.0,1.39,41.18,35.36,267.19,63.316,34.14,727.19,12.28,167.55,9.998,79.422,14.224,142.774,62899.19,1160
62891.45,2250.19,568.82,1.72,1.0,1.39,41.16,35.27,265.87,63.824,34.11,726.26,12.23,167.74,9.997,79.665,14.126,142.244,62910.27,1165
62841.27,2248.35,565.99,1.72,1.0,1.38,41.03,35.26,265.59,63.828,34.15,722.46,12.18,166.83,9.996,79.769,14.064,142.67,62844.36,1170
62948.03,2255.32,569.89,1.73,1.0,1.39,41.12,35.23,266.32,64.247,34.41,723.96,12.25,166.95,9.997,8.044,14.063,142.68,62954.41,1175
63111.0,2260.18,566.06,1.74,1.0,1.39,41.16,35.26,267.06,63.992,34.31,725.32,12.13,166.72,9.997,80.235,14.079,142.378,63104.89,1180
63065.27,2256.48,563.21,1.74,1.0,1.39,41.03,35.24,266.64,64.111,34.44,725.95,12.21,167.1,9.996,81.146,14.095,142.537,63055.02,1185
63188.92,2259.49,560.61,1.75,1.0,1.38,41.01,35.12,267.75,64.073,34.28,726.8,12.14,166.64,9.997,8.124,14.169,141.746,63188.43,1190
63397.22,2260.19,562.85,1.74,1.0,1.38,40.97,35.07,267.57,63.729,34.24,728.8,12.16,166.54,9.997,82.203,14.147,140.973,63417.91,1195
63230.76,2288.54,562.62,1.81,1.45,1.0,42.21,36.3,271.48,36.25,0.65822,791.19,0.110112,12.53,163.38,0.9998,0.1497,0.157267,63251.57,1200
63178.11,2287.4,561.66,1.8,1.45,1.0,42.19,36.39,270.83,36.24,0.65756,790.22,0.109233,12.54,163.33,0.9998,0.14965,0.157932,63178.92,1205
63158.69,2288.6,561.19,1.79,1.45,1.0,42.28,36.36,270.22,36.4,0.66014,796.28,0.110835,12.5,163.28,0.9998,0.14879,0.1586,63156.49,1210
63137.7,2291.05,560.37,1.79,1.46,1.0,42.4,36.38,271.11,36.67,0.66125,795.12,0.112923,12.49,163.36,0.9997,0.14889,0.158543,63146.99,1215
63210.45,2293.46,559.54,1.79,1.46,1.0,42.45,36.41,271.05,36.78,0.66412,799.5,0.114094,12.52,163.43,0.9998,0.14942,0.157214,63211.18,1220
63208.7,2292.51,559.18,1.79,1.47,1.0,42.66,36.5,271.99,36.85,0.66383,803.05,0.114408,12.49,163.24,0.9998,0.14943,0.157123,63200.79,1225
63148.81,2292.09,558.82,1.78,1.47,1.0,42.72,36.35,272.38,37.25,0.66535,810.19,0.113067,12.51,163.37,0.9998,0.14992,0.156178,63143.81,1230
63665.07,2342.99,568.82,1.82,1.45,1.0,43.94,36.43,279.54,37.43,0.66572,812.53,0.111987,12.73,165.01,0.15239,1.0,0.158,63695.59,1235
62689.53,2439.24,547.99,1.71,1.48,1.0,41.83,37.93,271.81,41.58,0.132245,816.88,0.62666,12.16,0.182383,170.0,0.9998,0.15054,62691.74,1240
62705.56,2438.86,549.03,1.72,1.48,1.0,41.89,37.76,273.01,41.55,0.131337,815.9,0.62757,12.09,0.182655,169.35,0.9998,0.1506,62709.66,1245
62750.76,2438.83,549.05,1.72,1.47,1.0,41.95,37.83,273.53,41.74,0.131389,818.68,0.62836,12.11,0.182947,169.62,0.9998,0.15103,62748.94,1250
62711.04,2436.99,548.7,1.72,1.47,1.0,42.02,37.76,272.03,41.66,0.130492,817.01,0.6279,12.13,0.183015,169.84,0.9999,0.15095,62715.44,1255
62717.03,2443.04,550.77,1.72,1.47,1.0,42.12,37.9,271.58,41.88,0.130807,816.53,0.62772,12.08,0.183428,169.76,0.9998,0.15053,62709.71,1260
62879.0,2451.93,550.63,1.75,1.47,1.0,42.21,37.93,272.76,42.19,0.131551,820.72,0.62999,12.1,0.184214,169.99,0.9996,0.15332,62883.57,1265
62832.58,2447.66,548.44,1.74,1.48,1.0,42.1,38.1,272.23,41.95,0.131385,822.0,0.62662,12.1,0.183869,0.9997,168.83,0.15367,62836.56,1270
62897.29,2453.95,549.92,1.74,1.48,1.0,42.12,38.51,273.8,42.11,0.132566,821.3,0.6282,12.15,0.184525,169.5,0.9998,0.15335,62897.48,1275
63007.53,2458.51,549.35,1.75,1.48,1.0,42.07,38.4,274.55,41.93,0.134277,825.0,0.63152,12.22,0.185269,169.83,0.9996,0.15344,62992.7,1280
63014.72,2464.68,549.38,1.75,1.48,1.0,42.42,39.26,274.38,41.85,0.1338,823.17,0.63322,12.19,0.185764,169.55,0.9996,0.153,62970.9,1285
62936.67,2463.17,550.31,1.74,1.48,1.0,42.39,39.13,274.03,42.26,0.133849,819.69,0.63191,12.16,0.184843,170.5,0.9997,0.15231,62958.5,1290
62904.0,2465.63,550.62,1.73,1.48,1.0,42.45,38.98,273.89,42.47,0.132802,815.8,0.63195,12.18,0.185743,171.12,0.9996,0.15289,62884.85,1295
62905.65,2463.56,550.82,1.73,1.48,1.0,42.48,39.07,272.99,42.11,0.132736,816.66,0.63375,12.18,0.185546,171.23,0.9995,0.15312,62903.09,1300
62961.61,2466.19,551.35,1.72,1.48,1.0,42.64,39.29,273.12,42.17,0.1324,821.4,0.63478,12.18,0.18711,172.66,0.9996,0.15298,62972.73,1305
62805.83,2457.24,551.87,1.72,1.47,1.0,42.53,38.9,272.71,42.38,0.131734,820.09,0.63225,12.19,0.185272,171.7,0.9995,0.15213,62807.03,1310
62781.14,2456.76,549.37,1.72,1.47,1.0,42.56,38.87,272.18,43.03,0.131947,817.81,0.6307,12.16,0.185265,171.02,0.9995,0.15229,62777.02,1315
62806.02,2465.0,549.21,1.73,1.47,1.0,42.88,38.86,43.57,272.96,0.13155,822.1,0.6313,12.26,0.184945,170.83,0.9996,0.15227,62809.63,1320
62752.39,2459.35,548.21,1.72,1.47,1.0,43.11,38.9,272.82,43.2,0.131916,820.47,0.62954,12.25,0.185434,170.78,0.9996,0.15218,62756.4,1325
62807.93,2462.4,548.86,1.72,1.47,1.0,43.43,39.0,273.11,43.47,0.1319,821.66,0.63002,12.27,0.184474,170.5,0.9996,0.15144,62803.17,1330
62840.73,2473.41,549.94,1.73,1.48,1.0,43.29,38.93,43.87,274.62,0.132946,824.18,0.63254,12.23,0.184977,171.02,0.9996,0.15175,62880.62,1335
62728.02,2470.0,549.46,1.71,1.48,1.0,43.22,38.94,274.16,43.65,0.132542,826.13,0.63101,12.25,0.184607,172.0,0.9995,0.15359,62731.9,1340
62695.41,2467.33,548.33,1.72,1.48,1.0,43.31,38.84,274.99,43.55,0.13252,836.44,0.63084,12.31,0.184011,172.02,0.9995,0.15541,62729.47,1345
62698.51,2471.59,548.99,1.71,1.48,1.0,43.43,39.18,276.11,43.78,0.133073,837.0,0.63085,12.3,0.18374,171.89,0.15804,0.9995,62731.35,1350
62641.33,2465.63,548.9,1.71,1.48,1.0,43.36,39.08,275.44,43.52,0.132805,836.15,0.62985,12.33,0.182475,172.7,0.15996,0.9996,62670.31,1355
62644.99,2465.1,549.0,1.71,1.47,1.0,43.31,38.99,274.78,43.34,0.132625,833.63,0.63018,12.32,0.182987,171.81,0.1589,0.9995,62672.53,1360
62515.92,2453.61,548.25,1.7,1.47,1.0,43.0,38.83,273.5,43.18,0.130756,824.44,0.62687,12.27,0.183491,171.0,0.9994,0.15727,62511.29,1365
62609.11,2458.97,549.84,1.72,1.47,1.0,43.02,38.79,274.15,43.23,0.131594,829.68,0.62866,12.26,0.18399,0.16099,171.58,0.9994,62597.81,1370
62725.18,2465.58,552.2,1.72,1.48,1.0,43.22,38.53,275.3,43.25,0.132592,830.59,0.62874,12.31,0.183912,0.16136,171.7,0.9995,62723.86,1375
62643.85,2470.42,550.76,1.72,1.48,1.0,43.35,38.57,274.56,43.33,0.132267,825.15,0.6297,12.33,0.183596,0.16222,171.23,0.9995,62656.91,1380
62457.0,2454.3,548.5,1.72,1.47,1.0,42.99,38.31,273.31,43.35,0.132078,822.76,0.62903,12.27,0.182557,0.16077,171.07,0.9994,62463.27,1385
62518.39,2457.52,550.98,1.73,1.48,1.0,43.36,38.5,274.45,43.68,0.132075,828.7,0.62789,12.34,0.183597,0.16133,171.92,0.9995,62528.49,1390
62500.04,2457.99,550.06,1.73,1.48,1.0,43.37,38.46,275.0,43.54,0.132024,828.76,0.6293,12.36,0.183535,171.82,0.15897,0.9995,62503.81,1395
62526.36,2454.43,549.69,1.73,1.47,1.0,43.22,38.37,275.2,43.52,0.131731,832.12,0.62818,12.31,0.183019,172.14,0.15826,0.9994,62520.79,1400
62537.47,2454.13,549.88,1.74,1.47,1.0,43.0,38.23,274.9,43.67,0.132276,836.54,0.63008,12.29,0.182994,171.72,0.15789,0.9994,62537.46,1405
62683.5,2461.15,551.57,1.74,1.48,1.0,42.85,38.28,276.71,43.9,0.133111,837.62,0.63175,12.33,0.18242,171.65,0.15797,0.9996,62708.63,1410
62749.92,2465.0,551.82,1.74,1.48,1.0,42.87,38.38,280.28,44.31,0.1335,839.79,0.63001,12.36,0.181948,171.48,0.1592,0.9997,62749.95,1415
62666.61,2461.97,553.43,1.72,1.48,1.0,43.0,38.66,281.51,43.61,0.132903,844.36,0.62913,12.28,0.181794,0.16086,171.74,0.9997,62663.64,1420
62899.76,2470.99,554.45,1.73,1.48,1.0,43.25,39.3,283.24,43.68,0.133896,856.94,0.63332,12.26,0.183501,0.16121,171.08,0.9998,62880.37,1425
62946.92,2473.35,554.45,1.73,1.48,1.0,43.29,39.12,283.67,43.78,0.133853,860.1,0.63348,12.27,0.183607,0.16205,171.28,0.9997,62926.42,1430
62979.16,2474.87,554.6,1.73,1.48,1.0,43.31,39.24,283.61,43.81,0.133936,860.38,0.63408,12.28,0.183569,0.16201,171.06,0.9997,62972.05,1435
62913.17,2480.43,554.48,1.73,1.48,1.0,43.2,39.28,282.2,43.6,0.133404,850.95,0.63655,12.3,0.1836,0.16266,170.69,0.9995,62937.2,1440
62755.11,2470.07,552.67,1.74,1.48,1.0,43.15,38.96,281.52,43.37,0.135705,846.93,0.63666,12.26,0.183137,0.16097,170.56,0.9995,62765.48,1445
62799.99,2472.07,553.26,1.74,1.48,1.0,43.12,38.95,282.24,43.4,0.1369,848.32,0.63583,12.26,0.183347,0.16072,170.5,0.9996,62787.0,1450
62777.54,2471.7,553.66,1.74,1.48,1.0,43.18,38.89,283.73,43.45,0.140554,850.76,0.6353,12.24,0.183106,0.15956,170.05,0.9995,62776.92,1455
62777.77,2471.77,553.71,1.74,1.48,1.0,43.17,38.86,283.61,43.42,0.1399,850.31,0.63553,12.24,0.183107,0.15945,170.06,0.9995,62778.73,1460
62655.04,2461.3,554.0,1.75,1.48,1.0,42.88,38.55,282.74,43.18,0.138238,844.32,0.63306,12.23,0.182978,0.15916,170.05,0.9997,62652.84,1465
62640.47,2460.83,552.92,1.75,1.48,1.0,42.89,38.55,282.17,43.12,0.138561,843.98,0.633,12.24,0.183121,0.15925,169.96,0.9996,62652.03,1470
62553.09,2454.14,552.15,1.77,1.48,1.0,42.63,38.37,281.71,42.94,0.136809,838.0,0.63416,12.23,0.183655,169.89,0.15805,0.9995,62601.69,1475
62594.55,2458.72,552.09,1.78,1.48,1.0,42.71,38.32,281.59,42.92,0.137367,839.93,0.63856,12.24,0.183092,169.9,0.9996,0.15722,62595.45,1480
62514.19,2454.41,549.84,1.78,1.47,1.00,42.59,38.21,280.84,42.85,0.135870,835.09,0.638010,12.19,0.182571,169.84,0.999500,0.156500,62518.07,1485
